G,wL,wp,IP,% Clay,% Silt,% Sand,Pressure,cv
2.7,37.0,18.0,19.0,26.0,38.5,35.5,25.0,15.11
2.7,37.0,18.0,19.0,26.0,38.5,35.5,50.0,19.3
2.7,37.0,18.0,19.0,26.0,38.5,35.5,100.0,11.52
2.7,37.0,18.0,19.0,26.0,38.5,35.5,200.0,8.2
2.65,39.0,29.5,9.5,5.0,58.5,36.5,25.0,11.54
2.65,39.0,29.5,9.5,5.0,58.5,36.5,50.0,5.3
2.65,39.0,29.5,9.5,5.0,58.5,36.5,100.0,2.67
2.58,73.4,51.9,21.5,27.5,51.5,21.0,25.0,2.07
2.58,73.4,51.9,21.5,27.5,51.5,21.0,50.0,1.07
2.58,73.4,51.9,21.5,27.5,51.5,21.0,100.0,0.7
2.7,73.5,37.9,35.6,37.9,51.5,35.5,25.0,1.07
2.7,73.5,37.9,35.6,37.9,51.5,35.5,50.0,0.5
2.7,73.5,37.9,35.6,37.9,51.5,35.5,100.0,0.2
2.7,73.5,37.9,35.6,37.9,51.5,35.5,200.0,0.07
2.6617192714104583,36.95408665573874,17.992667705772654,18.97800065754952,26.003074185917452,38.43364679785289,35.58979685731006,24.889610100475906,15.24030867855624
2.6269668257104333,36.985655958244486,17.903687248164605,19.00236421128899,26.062120648349982,38.42716959685331,35.52849656965652,50.07076899482478,19.365267114682432
2.6664131996297735,37.20640363362949,18.036007553385605,19.16412251638127,25.79048883909517,38.59935122447904,35.405683801800514,100.05426874945356,11.524972332243976
2.74008605771368,36.91310506509255,17.807295494233,19.05437342528385,26.004939867712157,38.40704566859799,35.52583126306629,199.8949015227036,8.275744491633352
2.655297346487273,38.97133073579326,29.550062684016922,9.535559618743882,4.957542151554164,58.48110065554055,36.45269400992035,24.998568055519215,11.611978705132842
2.5393775058135333,38.97709975797769,29.512981345719588,9.44018814205377,5.070470768386606,58.5929974600105,36.51855636565637,50.023112693650546,5.312503215609413
2.5160518287947737,39.018326385467105,29.507700112446248,9.386001947714444,4.943570644856878,58.529664016807835,36.64277252348958,99.96508477362413,2.732801461918071
2.512004279706254,73.30090979873941,52.0020562899291,21.2955402677848,27.426540481581352,51.556967453483885,20.95957254839199,24.906704803733398,1.908442487032418
2.4052841430472536,73.47358397307593,51.89826921474976,21.392727203570118,27.422066744703677,51.52725303754023,20.983967950991186,49.92194103489114,1.2653489577012782
2.4342790539926784,73.2817304970925,51.98209937391057,21.30206086443335,27.593188408890086,51.36345395198918,20.886323230564138,100.02671768359926,0.6723065853678142
2.661484464232254,73.63723720639585,37.92306842650283,35.57379585166934,37.8973446677746,51.58863982019616,35.47997422904133,25.18991552858381,1.1447658123399747
2.775315361167618,73.64289663820918,37.81758315431691,35.627475945438235,37.718068168634154,51.606275120251304,35.506566416305866,49.93614798071575,0.4604539759058406
2.932278671715404,73.46015066305694,37.81130267968638,35.62893959313231,37.838244424391036,51.43893227070186,35.51291912752854,100.08400157601196,-0.00033950253851466883
2.622212175534985,73.50859503058949,37.84229814816948,35.58117531096714,37.74937464611211,51.640019825958504,35.522708165751354,199.99460721874237,0.04923001109253745
2.6095999243190393,36.90658553871932,18.262311733024447,18.848588282811466,25.917924278799667,38.51313131786246,35.41277639134207,24.995967236994822,15.019765619781714
2.808248795415133,37.06784145599756,18.064072587945404,18.892805421859908,26.0692740429108,38.43186572771782,35.626306029973904,50.076302458511606,19.599878319134305
2.685404215337811,37.033539286738495,17.860917722195463,19.033032878284164,25.83734387348079,38.47347906380432,35.31379911373848,99.95172122914848,11.773802659476155
2.891543498363282,36.817480636963545,18.053201634095903,19.015448729008984,26.075580630509226,38.50803916409135,35.386923135710454,200.01581051512815,8.366634219878229
2.5669565826327108,39.0588489601914,29.67791160419512,9.413301500545552,5.051542967057003,58.45372059963648,36.5319402570063,24.995150108871364,11.544917162219166
2.6029244570561856,38.94900850687487,29.514544847682938,9.449006300933037,4.96627663700999,58.490928315398556,36.601556995151974,50.1137973047665,5.363159216827838
2.832557572883716,39.04750872570165,29.509841134569424,9.560241579704662,5.017020190357892,58.58480011639026,36.48172746512015,100.08337293050407,2.5631841104010618
2.4965843133782877,73.38983432258952,52.06332528856307,21.536432021724806,27.501358981929894,51.41560266732576,20.969513747486175,25.126803234497164,2.1282171205148974
2.655092473320263,73.30947869286054,51.858713192055866,21.51692298683476,27.410898416656398,51.43592544836141,21.17422731125838,49.857163558279716,1.0153981054199304
2.5982331348938588,73.45717088476106,51.79747031319153,21.540356189472092,27.398495516136926,51.54053241622026,21.056713213312463,99.97156259375053,0.970179386601221
2.644493990645719,73.59438082489731,37.84850575692165,35.55268800864805,37.90382616813624,51.83445937326642,35.50173892281108,24.886813514908894,1.1960430425051254
2.7917477478794313,73.45573539309069,37.912576229407335,35.609899048313636,37.98843401108489,51.645977681330194,35.56155414643727,49.91024526755212,0.3681331524402699
2.9646891970506024,73.39733378858955,37.8853416859102,35.706850066048375,37.866830721736214,51.513931834071464,35.421308513194056,99.97109426053265,0.10253792397556448
2.714533456418857,73.60598182827965,37.780859967500895,35.60682282049683,37.93156900589002,51.48806067822699,35.65969218174103,200.13026255704966,0.10276728802782147
2.816338979436332,37.10960782722119,17.93329055491532,18.942341156138877,26.147045262871796,38.46759479174671,35.61033996756664,24.875188649375566,15.210712576893453
2.6318313481364086,37.26612152519681,18.0086720160703,18.691642961133986,25.864551443930683,38.67261743054175,35.38926511663015,50.11242398422826,19.279737499727595
2.8663045204698534,36.89738086776651,18.022744697244356,19.023409357641377,25.95302797908073,38.36696116446082,35.46290905192106,100.06707001378368,11.574899744407464
2.6825330362559687,36.902183373316554,18.06448815292465,19.006591219037052,26.058424557421734,38.28440358958261,35.50200500303937,200.1937421166548,8.20333496555629
2.375519011896701,39.21847080716896,29.46307239556381,9.567852192269171,5.155681665832175,58.5047355212373,36.5438423096465,24.90909980757107,11.50640885758422
2.4948693931695125,39.04061544542061,29.656631754323218,9.360235012145344,5.103086406874622,58.66142147111127,36.50364026034459,49.96890856948725,5.409857293109216
2.795105976644015,38.96771775708792,29.51479317778895,9.475089920645978,4.849179336407858,58.525896515155104,36.68814545438424,99.9440061206471,2.621277154182303
2.5690394606027116,73.59031316646602,51.91829384962867,21.525556580455834,27.37678419886788,51.33662961038888,20.843445291261748,24.92091310423286,1.9563868661404509
2.546401184992155,73.47497261227545,51.923276451515726,21.456299295670544,27.38281307651415,51.362819803276516,20.955370642204525,50.135855826771376,1.0335480057029918
2.647337979140249,73.35590156449814,51.72060432018925,21.474343796948446,27.36564900148552,51.607496675266766,20.982450999329682,100.03440568141758,0.6754867328946221
2.641684845121245,73.51953889663588,37.85348975779006,35.68716583751121,37.92831370027549,51.35372763035589,35.56197893499366,24.866909378364085,1.202636561111117
